row,occupation_label,indent_spaces,unemployment_rate,unemployed_thousands,labor_force_thousands
592,Industrial truck and tractor operators,0,5.8,39,679
593,Cleaners of vehicles and equipment,0,7.9,34,429
594,"Laborers and freight, stock, and material movers, hand",0,8.9,215,2418
595,Machine feeders and offbearers,0,–,0,26
596,"Packers and packagers, hand",0,8.6,55,637
597,Stockers and order fillers,0,8.3,154,1851
598,Pumping station operators,0,–,0,14
599,Refuse and recyclable material collectors,0,6.7,9,136
600,Other material moving workers,0,2.5,2,79
602,Footnotes:,0,,,
603,"(1) People with no previous work experience and people whose last job was in the U.S. Armed Forces are included in the total, but not shown separately.",0,,,
604,"NOTE: Occupation is based on the last job held; this may or may not reflect one's current area of job search. Because the occupation for the unemployed is determined by their prior job, the occupational unemployment and labor force data reflect only the subset of total unemployed who have past job experience. This subset is called the experienced unemployed. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000). Annual estimates for 2025 are 11-month averages that exclude October. (Data for October 2025 were not collected due to the federal government shutdown.) As a result, 2025 annual estimates are not strictly comparable with annual averages for other years.",0,,,
