row,occupation_label,indent_spaces,unemployment_rate,unemployed_thousands,labor_force_thousands
150,Mental health counselors,0,1.8,4,222
151,Rehabilitation counselors,0,–,0,16
152,"Counselors, all other",0,3,8,265
153,"Child, family, and school social workers",0,1.1,1,84
154,Healthcare social workers,0,2.1,3,120
155,Mental health and substance abuse social workers,0,–,0,37
156,"Social workers, all other",0,1.6,10,606
157,Probation officers and correctional treatment specialists,0,1.6,1,68
158,Social and human service assistants,0,4.6,10,221
159,Other community and social service specialists,0,3.8,5,126
160,Clergy,0,0.3,1,407
161,"Directors, religious activities and education",0,0,0,82
162,"Religious workers, all other",0,1.4,1,83
163,Legal occupations,0,1.6,30,1910
164,Lawyers,0,0.8,10,1155
165,Judicial law clerks,0,–,5,20
166,"Judges, magistrates, and other judicial workers",0,0,0,57
167,Paralegals and legal assistants,0,2,10,496
168,"Title examiners, abstractors, and searchers",0,3.4,3,100
169,"Legal support workers, all other",0,1.7,1,81
170,"Education, training, and library occupations",0,2.9,284,9736
171,Postsecondary teachers,0,2.5,27,1086
172,Preschool and kindergarten teachers,0,2.3,15,659
173,Elementary and middle school teachers,0,2.2,77,3589
174,Secondary school teachers,0,1,8,798
175,Special education teachers,0,0.9,3,352
176,Tutors,0,8.7,16,181
177,Other teachers and instructors,0,4.4,47,1065
178,"Archivists, curators, and museum technicians",0,7.4,6,85
179,Librarians and media collections specialists,0,0.8,2,196
180,Library technicians,0,–,1,32
181,Teaching assistants,0,4.9,75,1538
182,Other educational instruction and library workers,0,3.6,6,157
183,"Arts, design, entertainment, sports, and media occupations",0,5.2,194,3697
184,Artists and related workers,0,4.6,15,317
185,Commercial and industrial designers,0,–,1,22
186,Fashion designers,0,12.4,6,51
187,Floral designers,0,5.8,3,52
188,Graphic designers,0,4.8,14,299
189,Interior designers,0,4.3,6,131
190,Merchandise displayers and window trimmers,0,–,1,32
191,Other designers,0,3.5,14,393
192,Actors,0,26.8,16,59
193,Producers and directors,0,5.4,12,228
194,Athletes and sports competitors,0,–,2,46
195,Coaches and scouts,0,2.5,9,371
196,"Umpires, referees, and other sports officials",0,–,6,33
197,Dancers and choreographers,0,–,2,20
198,Music directors and composers,0,0.3,0,58
199,Musicians and singers,0,4.6,8,174
200,"Disc jockeys, except radio",0,–,2,18
201,"Entertainers and performers, sports and related workers, all other",0,3.9,3,65
202,Broadcast announcers and radio disc jockeys,0,–,3,21
203,"News analysts, reporters, and journalists",0,6.5,6,92
204,Public relations specialists,0,4.3,6,142
205,Editors,0,3.8,4,118
206,Technical writers,0,6,3,58
207,Writers and authors,0,8.5,22,256
208,Interpreters and translators,0,4.1,4,101
209,Court reporters and simultaneous captioners,0,–,0,24
210,"Media and communication workers, all other",0,–,0,24
211,"Broadcast, sound, and lighting technicians",0,4.6,6,127
212,Photographers,0,2.6,6,221
213,"Television, video, and film camera operators and editors",0,9.3,13,143
214,"Media and communication equipment workers, all other",0,–,0,2
215,Healthcare practitioners and technical occupations,0,1.5,161,10525
216,Chiropractors,0,4.4,3,69
217,Dentists,0,0.9,2,194
218,Dietitians and nutritionists,0,1.4,2,138
219,Optometrists,0,–,0,48
220,Pharmacists,0,2.2,8,373
221,Emergency medicine physicians,0,–,0,25
222,Radiologists,0,–,0,19
223,Other physicians,0,1.2,11,940
224,Surgeons,0,0.2,0,73
225,Physician assistants,0,1.1,2,155
226,Podiatrists,0,–,0,9
227,Audiologists,0,–,0,20
228,Occupational therapists,0,2.2,3,141
229,Physical therapists,0,0.6,2,340
230,Radiation therapists,0,–,0,10
231,Recreational therapists,0,–,0,13
232,Respiratory therapists,0,0.3,0,89
233,Speech-language pathologists,0,2.2,5,208
234,Exercise physiologists,0,–,0,5
235,"Therapists, all other",0,1,3,326
236,Veterinarians,0,0,0,91
237,Registered nurses,0,1.2,43,3572
238,Nurse anesthetists,0,–,0,25
239,Nurse midwives,0,–,0,11
240,Nurse practitioners,0,1.2,4,329
241,Acupuncturists,0,–,0,20
242,"Healthcare diagnosing or treating practitioners, all other",0,–,0,17
243,Clinical laboratory technologists and technicians,0,1.6,5,319
244,Dental hygienists,0,0.4,1,204
245,Cardiovascular technologists and technicians,0,1.5,1,68
246,Diagnostic medical sonographers,0,1.3,2,120
247,Radiologic technologists and technicians,0,1.4,4,277
248,Magnetic resonance imaging technologists,0,2.9,2,66
249,Nuclear medicine technologists and medical dosimetrists,0,–,0,41
250,Emergency medical technicians,0,2.6,4,139
251,Paramedics,0,1.4,2,119
252,Pharmacy technicians,0,3.4,13,386
253,Psychiatric technicians,0,4.6,7,149
254,Surgical technologists,0,1.4,1,108
255,Veterinary technologists and technicians,0,2.3,3,149
256,Dietetic technicians and ophthalmic medical technicians,0,11,8,76
257,Licensed practical and licensed vocational nurses,0,2.1,12,557
258,Medical records specialists,0,1,2,167
259,"Opticians, dispensing",0,0,0,50
260,Miscellaneous health technologists and technicians,0,3.1,4,130
261,Other healthcare practitioners and technical occupations,0,1.6,2,142
262,Service occupations,0,5.3,1537,28767
263,Healthcare support occupations,0,4.3,260,6090
264,Home health aides,0,5.2,40,766
265,Personal care aides,0,5.5,107,1947
266,Nursing assistants,0,4.2,62,1466
267,Orderlies and psychiatric aides,0,4.1,3,62
268,Occupational therapy assistants and aides,0,–,1,36
269,Physical therapist assistants and aides,0,3.2,4,135
270,Massage therapists,0,2.6,5,188
271,Dental assistants,0,1.9,5,292
272,Medical assistants,0,1.3,9,688
273,Medical transcriptionists,0,–,1,42
274,Pharmacy aides,0,–,1,33
275,Veterinary assistants and laboratory animal caretakers,0,4.8,3,66
276,Phlebotomists,0,4.5,7,151
277,Other healthcare support workers,0,5.9,13,218
278,Protective service occupations,0,3.1,106,3450
279,First-line supervisors of correctional officers,0,0.4,0,51
280,First-line supervisors of police and detectives,0,0,0,107
281,First-line supervisors of firefighting and prevention workers,0,2.7,2,56
282,First-line supervisors of security workers,0,2.6,2,87
283,"First-line supervisors of protective service workers, all other",0,–,0,2
284,Firefighters,0,1.8,7,359
285,Fire inspectors,0,–,0,31
286,Bailiffs,0,–,0,21
287,Correctional officers and jailers,0,1.2,4,300
288,Detectives and criminal investigators,0,0.4,1,155
289,Fish and game wardens,0,–,0,12
290,Parking enforcement workers,0,–,0,12
291,Police officers,0,0.5,3,708
292,Animal control workers,0,–,0,7
293,Private detectives and investigators,0,2.7,4,159
294,Security guards and gambling surveillance officers,0,6.3,65,1027
295,Crossing guards and flaggers,0,5,3,58
296,Transportation security screeners,0,0,0,52
297,School bus monitors,0,–,4,42
298,Other protective service workers,0,5.6,12,205
299,Food preparation and serving related occupations,0,7,624,8915
300,Chefs and head cooks,0,5.2,28,544
301,First-line supervisors of food preparation and serving workers,0,1.9,10,537
302,Cooks,0,7.7,175,2275
303,Food preparation workers,0,7.9,79,1009
304,Bartenders,0,5.7,26,458
305,Fast food and counter workers,0,7.5,78,1036
306,Waiters and waitresses,0,6.5,123,1877
307,"Food servers, nonrestaurant",0,8.8,22,256
308,Dining room and cafeteria attendants and bartender helpers,0,10.6,30,287
309,Dishwashers,0,12,33,278
310,"Hosts and hostesses, restaurant, lounge, and coffee shop",0,4.8,16,342
311,"Food preparation and serving related workers, all other",0,–,1,16
312,Building and grounds cleaning and maintenance occupations,0,5.6,340,6048
313,First-line supervisors of housekeeping and janitorial workers,0,1.5,5,359
314,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",0,3.1,9,297
315,Janitors and building cleaners,0,5.6,138,2479
316,Maids and housekeeping cleaners,0,5.3,77,1469
317,Pest control workers,0,1.5,1,95
318,Landscaping and groundskeeping workers,0,8.5,104,1218
319,Tree trimmers and pruners,0,4.3,5,105
320,Other grounds maintenance workers,0,–,0,26
321,Personal care and service occupations,0,4.8,206,4263
322,Supervisors of personal care and service workers,0,5.9,3,51
323,Animal trainers,0,1.2,1,55
324,Animal caretakers,0,6.2,24,388
325,Gambling services workers,0,3.5,3,100
326,"Ushers, lobby attendants, and ticket takers",0,–,4,43
327,Other entertainment attendants and related workers,0,9.6,24,248
328,"Embalmers, crematory operators, and funeral attendants",0,–,1,14
329,"Morticians, undertakers, and funeral arrangers",0,–,0,36
330,Barbers,0,0.6,1,142
331,"Hairdressers, hairstylists, and cosmetologists",0,3,23,771
332,Manicurists and pedicurists,0,1.8,5,282
333,Skincare specialists,0,3,4,116
334,Other personal appearance workers,0,–,3,34
335,"Baggage porters, bellhops, and concierges",0,3.5,3,83
336,Tour and travel guides,0,10.5,7,62
337,Childcare workers,0,5.9,69,1175
338,Exercise trainers and group fitness instructors,0,1.6,4,285
339,Recreation workers,0,9.7,18,189
340,Residential advisors,0,–,3,36
341,"Personal care and service workers, all other",0,4.1,6,153
342,Sales and office occupations,0,4.2,1344,31948
343,Sales and related occupations,0,4.6,679,14838
344,First-line supervisors of retail sales workers,0,3,93,3069
345,First-line supervisors of non-retail sales workers,0,1.7,18,1054
346,Cashiers,0,9.1,251,2740
347,Counter and rental clerks,0,9.1,7,80
348,Parts salespersons,0,0.9,1,130
349,Retail salespersons,0,5.8,165,2826
350,Advertising sales agents,0,1.7,2,140
351,Insurance sales agents,0,2,12,631
352,"Securities, commodities, and financial services sales agents",0,2,4,204
353,Travel agents,0,5.2,4,85
354,"Sales representatives of services, except advertising, insurance, financial services, and travel",0,4.3,31,727
355,"Sales representatives, wholesale and manufacturing",0,2.2,26,1171
356,"Models, demonstrators, and product promoters",0,–,5,44
357,Real estate brokers and sales agents,0,1.7,19,1084
358,Sales engineers,0,0.2,0,58
359,Telemarketers,0,–,3,29
360,"Door-to-door sales workers, news and street vendors, and related workers",0,6.4,17,271
361,"Sales and related workers, all other",0,3.9,19,496
362,Office and administrative support occupations,0,3.9,666,17110
363,First-line supervisors of office and administrative support workers,0,1.7,23,1406
364,"Switchboard operators, including answering service",0,–,2,11
365,Telephone operators,0,–,2,28
366,"Communications equipment operators, all other",0,–,0,4
367,Bill and account collectors,0,4.6,5,116
368,Billing and posting clerks,0,2.4,10,413
369,"Bookkeeping, accounting, and auditing clerks",0,2.3,30,1284
370,Gambling cage workers,0,–,2,24
371,Payroll and timekeeping clerks,0,0.9,2,168
372,Procurement clerks,0,–,1,44
373,Tellers,0,1.9,4,228
374,"Financial clerks, all other",0,2.3,4,165
375,Brokerage clerks,0,–,0,2
376,Correspondence clerks,0,–,0,11
377,"Court, municipal, and license clerks",0,4.3,3,67
378,"Credit authorizers, checkers, and clerks",0,–,1,31
379,Customer service representatives,0,4.6,127,2727
380,"Eligibility interviewers, government programs",0,4.5,4,94
381,File Clerks,0,4.3,7,153
382,"Hotel, motel, and resort desk clerks",0,7.9,8,107
383,"Interviewers, except eligibility and loan",0,8.9,17,188
384,"Library assistants, clerical",0,4.1,3,74
385,Loan interviewers and clerks,0,2.8,2,87
386,New accounts clerks,0,–,0,10
387,Order clerks,0,6.5,6,93
388,"Human resources assistants, except payroll and timekeeping",0,2.7,3,128
389,Receptionists and information clerks,0,5.2,68,1315
390,Reservation and transportation ticket agents and travel clerks,0,1.3,2,126
391,"Information and record clerks, all other",0,5.8,6,107
392,Cargo and freight agents,0,–,0,27
393,Couriers and messengers,0,5.7,57,1007
394,Public safety telecommunicators,0,1.1,1,91
395,"Dispatchers, except police, fire, and ambulance",0,7.1,14,194
396,"Meter readers, utilities",0,–,1,18
397,Postal service clerks,0,1.4,1,97
398,Postal service mail carriers,0,2.7,10,381
399,"Postal service mail sorters, processors, and processing machine operators",0,0.3,0,52
400,"Production, planning, and expediting clerks",0,7.7,18,230
401,"Shipping, receiving, and inventory clerks",0,4,25,629
402,"Weighers, measurers, checkers, and samplers, recordkeeping",0,8.9,9,100
403,Executive secretaries and executive administrative assistants,0,3.8,10,259
404,Legal secretaries and administrative assistants,0,–,0,38
405,Medical secretaries and administrative assistants,0,3.7,4,107
406,"Secretaries and administrative assistants, except legal, medical, and executive",0,3.1,48,1539
407,Data entry keyers,0,5.4,13,242
408,Word processors and typists,0,3.8,2,65
409,Desktop publishers,0,–,0,1
410,Insurance claims and policy processing clerks,0,5.5,16,290
411,"Mail clerks and mail machine operators, except postal service",0,3.1,2,66
412,"Office clerks, general",0,4.2,63,1498
413,"Office machine operators, except computer",0,–,0,23
414,Proofreaders and copy markers,0,–,0,18
415,Statistical assistants,0,–,0,44
416,"Office and administrative support workers, all other",0,3.1,27,886
417,"Natural resources, construction, and maintenance occupations",0,4.9,747,15298
418,"Farming, fishing, and forestry occupations",0,8.8,97,1097
419,"First-line supervisors of farming, fishing, and forestry workers",0,5,3,53
420,Agricultural inspectors,0,–,1,12
421,Animal breeders,0,–,0,16
422,"Graders and sorters, agricultural products",0,5.5,3,61
423,Miscellaneous agricultural workers,0,10.1,86,852
424,Fishing and hunting workers,0,–,2,37
425,Forest and conservation workers,0,–,0,19
426,Logging workers,0,–,1,47
427,Construction and extraction occupations,0,5.4,481,8971
428,First-line supervisors of construction trades and extraction workers,0,3.2,26,814
429,Boilermakers,0,–,6,19
430,"Brickmasons, blockmasons, and stonemasons",0,5.5,7,128
431,Carpenters,0,5,62,1239
432,"Carpet, floor, and tile installers and finishers",0,5.8,6,112
